"model","eq","term","b","se","p"
"M3","THR","BenignEnvy_c",0.1987620514269,0.034096614629033,1.29317779752451e-08
"M3","THR","MaliciousEnvy_c",-0.137014181910245,0.0354273156712388,0.000131773250111506
"M3","THR","Autocratic_c",-0.011214725989434,0.0472357282145775,0.812473654078743
"M3","THR","Empowering_c",0.0514492446327009,0.0430700988351522,0.233096834100899
"M3","THR","Narcissism_c",-0.00493540849806694,0.0376835394902888,0.89587659650834
"M3","THR","PowerDistance_c",0.0177178859200358,0.037709677724323,0.63876350914253
"M3","THR","FollowerAge_c",-0.0127639112430228,0.00722569958038269,0.0782159124944066
"M3","THR","Gender_Male",-0.0106377205849216,0.067098946457363,0.874127145313224
"M3","THR","TenureWithLeader_c",-0.000524837679847119,0.0227331085952544,0.981594474745691
"M3","THR","InteractionFreq_c",0.00327887159041611,0.0308353889218192,0.915379518008817
"M3","THR","T1_Thriving_c",0.411716021255674,0.0530154340514093,9.63780827312776e-14
"M3","OCBS","(Intercept)",-0.0608420812073042,0.0798366303426519,0.446935981308802
"M3","OCBS","BenignEnvy_c",0.318478034181667,0.0516491505471165,2.03546846777765e-09
"M3","OCBS","MaliciousEnvy_c",-0.152531693499414,0.0543352042543534,0.00529012912982225
"M3","OCBS","Autocratic_c",0.101061977305509,0.0730062749369852,0.167234714063039
"M3","OCBS","Empowering_c",-0.0320609630746217,0.0666121084692946,0.630630438724792
"M3","OCBS","Narcissism_c",-0.0672664853894763,0.0587880275033985,0.253393450282549
"M3","OCBS","PowerDistance_c",-0.0743784701478456,0.0589618860970644,0.208057227179226
"M3","OCBS","FollowerAge_c",-0.0142810145218781,0.011231730504075,0.204424141368
"M3","OCBS","Gender_Male",0.10701231445105,0.104256629378579,0.305417805043805
"M3","OCBS","TenureWithLeader_c",0.0192080363519721,0.0352994178746963,0.586697901025719
"M3","OCBS","InteractionFreq_c",-0.104889101776613,0.0477145950310596,0.0286125399498697
"M3","CWBS","(Intercept)",0.0410446019481232,0.0737889930551955,0.578410714758715
"M3","CWBS","BenignEnvy_c",-0.0652784394405836,0.0493707397584663,0.186987334526516
"M3","CWBS","MaliciousEnvy_c",0.34425642618792,0.0518803768904749,1.27655042065318e-10
"M3","CWBS","Autocratic_c",0.0962138172749278,0.0687824113649602,0.162780218067373
"M3","CWBS","Empowering_c",-0.0183606961661198,0.0627012803498557,0.769832185185196
"M3","CWBS","Narcissism_c",0.0872398780600367,0.055350889157921,0.115927138648258
"M3","CWBS","PowerDistance_c",-0.0014076871697309,0.0555604087512153,0.979801698551784
"M3","CWBS","FollowerAge_c",0.00657828386825119,0.0106723893649417,0.538053956868464
"M3","CWBS","Gender_Male",-0.0730636893317373,0.0990879243647975,0.461410665186384
"M3","CWBS","TenureWithLeader_c",-0.0218547758395218,0.0335775544066445,0.515567085406683
"M3","CWBS","InteractionFreq_c",-0.0044031054939899,0.0455272368313584,0.9230107775182
